epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,609.27,1.64545,1.38543,1.45794,0.81801,0.81818,0.87921,0.4541,1.57724,1.59979,1.53224,0.000992,0.000992,0.000992
58,619.538,1.41224,1.30884,1.34748,0.81609,0.81818,0.8433,0.41488,1.71255,1.75503,1.66212,0.000974,0.000974,0.000974
59,629.818,1.57822,1.40969,1.49194,0.82839,0.90909,0.825,0.36545,1.74685,1.81386,1.7126,0.000956,0.000956,0.000956
60,640.267,1.6482,1.60926,1.56776,0.75042,0.90909,0.73924,0.32314,1.87718,1.9269,1.84363,0.000938,0.000938,0.000938
61,650.555,1.81212,1.45158,1.61119,0.75042,0.90909,0.73924,0.32314,1.87718,1.9269,1.84363,0.00092,0.00092,0.00092
62,661.235,1.52376,1.42108,1.44384,0.90558,0.87395,0.89299,0.40364,1.80769,1.7429,1.75654,0.000902,0.000902,0.000902
63,671.545,1.44198,1.32684,1.3932,0.8725,0.81818,0.947,0.48696,1.6971,1.50055,1.6153,0.000884,0.000884,0.000884
64,682.576,1.5325,1.35583,1.44609,0.97724,0.81818,0.95643,0.54773,1.54199,1.38433,1.53822,0.000866,0.000866,0.000866
65,693.778,1.54914,1.29407,1.48217,0.97724,0.81818,0.95643,0.54773,1.54199,1.38433,1.53822,0.000848,0.000848,0.000848
66,703.993,1.49146,1.24271,1.42271,0.87999,0.72727,0.89461,0.54765,1.44414,1.58089,1.47903,0.00083,0.00083,0.00083
67,714.281,1.70354,1.26876,1.56591,0.87482,0.72727,0.89071,0.55462,1.40198,1.56746,1.45653,0.000812,0.000812,0.000812
68,724.435,1.62148,1.26988,1.50644,0.87976,0.72727,0.8845,0.54874,1.46565,1.57883,1.47007,0.000794,0.000794,0.000794
69,734.398,1.65574,1.2613,1.42992,0.87976,0.72727,0.8845,0.54874,1.46565,1.57883,1.47007,0.000776,0.000776,0.000776
70,744.526,1.61781,1.26734,1.50469,0.9873,0.72727,0.92534,0.52993,1.60114,1.52286,1.53572,0.000758,0.000758,0.000758
71,754.733,1.62545,1.17856,1.43497,0.76318,1,0.94006,0.44965,1.78149,1.48718,1.65549,0.00074,0.00074,0.00074
72,765.008,1.60156,1.27368,1.43469,0.83661,1,0.97297,0.42127,1.83683,1.45543,1.76286,0.000722,0.000722,0.000722
73,775.047,1.50095,1.20183,1.40622,0.83661,1,0.97297,0.42127,1.83683,1.45543,1.76286,0.000704,0.000704,0.000704
74,785.108,1.61128,1.2394,1.45219,0.99607,0.90909,0.9875,0.45142,1.79788,1.36951,1.77879,0.000686,0.000686,0.000686
75,794.992,1.54584,1.32045,1.44533,1,0.99556,0.995,0.48517,1.75825,1.36121,1.73925,0.000668,0.000668,0.000668
76,804.885,1.59706,1.16404,1.46669,1,0.99093,0.995,0.45073,1.76531,1.37125,1.76084,0.00065,0.00065,0.00065
77,814.826,1.55807,1.25552,1.48347,1,0.99093,0.995,0.45073,1.76531,1.37125,1.76084,0.000632,0.000632,0.000632
78,824.896,1.56849,1.1624,1.47834,1,0.99192,0.995,0.39909,1.794,1.34172,1.80863,0.000614,0.000614,0.000614
79,835.201,1.43879,1.19862,1.38331,1,0.99002,0.995,0.39947,1.836,1.35103,1.77748,0.000596,0.000596,0.000596
80,845.757,1.59522,1.25015,1.50408,1,0.99793,0.995,0.4203,1.87652,1.35629,1.78555,0.000578,0.000578,0.000578
81,856.66,1.54022,1.18657,1.45658,1,0.99793,0.995,0.4203,1.87652,1.35629,1.78555,0.00056,0.00056,0.00056
82,867.17,1.57589,1.32933,1.51025,0.99908,1,0.995,0.46802,1.82813,1.27898,1.73505,0.000542,0.000542,0.000542
83,878.012,1.63985,1.19111,1.48726,0.99314,1,0.995,0.51216,1.81072,1.26559,1.69222,0.000524,0.000524,0.000524
84,888.53,1.50402,1.1551,1.42599,0.98535,1,0.995,0.50774,1.78921,1.2595,1.64437,0.000506,0.000506,0.000506
85,898.98,1.53433,1.14497,1.37865,0.98535,1,0.995,0.50774,1.78921,1.2595,1.64437,0.000488,0.000488,0.000488
86,909.42,1.53664,1.23281,1.46357,0.98304,1,0.995,0.45874,1.83372,1.27238,1.66038,0.00047,0.00047,0.00047
87,919.527,1.50347,1.27511,1.37408,0.98569,1,0.995,0.43641,1.97491,1.30396,1.74496,0.000452,0.000452,0.000452
88,929.744,1.38532,1.21595,1.37671,0.98693,1,0.995,0.3834,2.12485,1.33972,1.89399,0.000434,0.000434,0.000434
89,939.711,1.36201,1.04166,1.31705,0.98693,1,0.995,0.3834,2.12485,1.33972,1.89399,0.000416,0.000416,0.000416
